               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7932,              2.3619,              2.0763,             0.68576,             0.65315,             0.70639,              0.4132,                   0,                   0,                   0,            0.070024,           0.0033307,           0.0033307
                   1,              1.7297,              1.8374,              1.9972,              0.6492,             0.61516,              0.6445,             0.35631,                   0,                   0,                   0,            0.039958,            0.006598,            0.006598
                   2,              1.8157,              1.9749,              2.0655,             0.62842,             0.60845,             0.62401,             0.32886,                   0,                   0,                   0,           0.0098259,           0.0097994,           0.0097994
                   3,              1.8311,              2.0195,              2.0752,             0.69608,              0.6365,             0.69798,             0.39582,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.7611,              1.8923,              2.0323,             0.72361,             0.66722,             0.73905,             0.45393,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.7102,              1.7977,              1.9978,             0.72893,             0.68678,             0.75895,              0.4586,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.6677,              1.7257,              1.9748,             0.74042,             0.69769,             0.76629,             0.47187,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.6453,              1.6847,              1.9562,             0.74268,             0.70828,             0.77432,             0.50284,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.6139,              1.6376,              1.9359,             0.74771,             0.73024,              0.7929,              0.5093,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.5938,              1.6041,              1.9218,             0.78583,             0.72794,             0.81465,             0.53884,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.5716,              1.5569,              1.9054,             0.78119,             0.73548,              0.8156,             0.53993,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.5591,              1.5432,              1.8963,             0.77677,             0.75713,             0.82342,             0.55331,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.5479,              1.5131,               1.886,             0.79158,             0.73765,             0.82182,             0.55219,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,               1.531,              1.4879,              1.8768,             0.80146,             0.74299,             0.83248,             0.55942,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.5125,              1.4616,              1.8659,             0.79327,              0.7651,             0.83609,             0.57437,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.5015,               1.447,              1.8496,             0.79656,             0.76869,             0.84177,             0.57901,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.4925,               1.418,              1.8416,             0.80965,             0.75837,             0.84393,             0.58263,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.4935,              1.4168,              1.8385,             0.81962,             0.77322,             0.85329,             0.59272,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
